R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,better_rank,finish,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
-150.0,130,66.66666666666666,130.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,0,False,0.08047385620915033,0.8954248366013072,5,0,1,0,3.42,0.59,0.7,0.24,1.0,4,2,11,0,0,0,1,4,0,0,5,0.7520424836601307,198.12,208.28,205,3,0,0,3.95,0.48,0.1,0.61,0.36,4,8,43,1,0,0,2,11,0,0,13,0.7581699346405228,187.96,193.04,205,37,29,-3,1,0,-8,-6,-32,-1,-7,0,10.159999999999997,15.240000000000007,-8,-0.5300000000000002,0.6,-0.37,1,1,0.26552287581699346,0.4117647058823529,5.0,0.5643382352941176,1500.0,800.0,900.0,2000.0,1600.0,-110.0,175.0
170.0,-200,170.0,50.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,1,False,0.16952614379084968,0.8954248366013072,3,2,0,0,5.16,0.42,0.8,0.79,0.22,2,5,24,0,0,0,0,4,2,0,6,0.7520424836601307,182.88,193.04,170,2,0,0,2.97,0.51,0.5,2.27,0.37,4,8,44,0,0,1,3,4,3,0,11,0.7581699346405228,180.34,193.04,170,33,32,0,0,-2,-5,-3,-20,0,0,-1,2.539999999999992,0.0,-1,2.19,0.3,-1.48,1,1,0.7193627450980392,0.4117647058823529,3.0,0.5643382352941176,900.0,450.0,350.0,700.0,1100.0,550.0,120.0
110.0,-130,110.0,76.92307692307693,0.0022467320261437907,0.2555147058823529,0.12234477124183006,1,False,0.12111928104575163,0.8954248366013072,3,1,0,0,2.92,0.41,0.1,1.15,0.34,5,5,38,0,0,2,6,1,0,0,9,0.20016339869281047,185.42,195.58,185,1,0,0,3.77,0.49,1.7,4.48,0.44,4,4,13,0,0,0,0,1,5,0,6,0.7581699346405228,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.079999999999984,0.0,-2,-0.8500000000000001,-1.6,-3.3300000000000005,1,1,0.7193627450980392,0.09865196078431372,3.0,0.5643382352941176,900.0,550.0,275.0,275.0,1400.0,600.0,185.0
-675.0,475,14.814814814814811,475.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,0,False,0.17463235294117646,0.8954248366013072,3,1,0,0,4.04,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0.7520424836601307,177.8,177.8,155,1,0,0,3.79,0.36,0.0,1.57,0.35,2,3,15,0,0,0,2,2,0,0,4,0.7581699346405228,175.26,182.88,155,29,32,0,0,-2,-4,-2,-12,0,-2,0,2.5400000000000205,-5.079999999999984,3,0.25,0.0,-1.57,1,1,0.7193627450980392,0.3053513071895425,1.0,0.0014297385620915032,80.0,175.0,900.0,500.0,3500.0,110.0,1100.0
-135.0,115,74.07407407407408,115.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,1,False,0.17463235294117646,0.8954248366013072,3,0,2,0,5.22,0.56,0.0,2.54,0.39,2,3,19,0,0,0,4,1,0,0,5,0.7520424836601307,175.26,172.72,145,0,4,0,2.64,0.62,0.6,2.85,0.52,4,0,8,0,0,0,2,0,2,0,4,0.7581699346405228,175.26,177.8,155,28,33,0,-2,-2,1,3,11,0,1,-2,0.0,-5.0800000000000125,5,2.58,-0.6,-0.31,1,1,0.7193627450980392,0.09865196078431372,3.0,0.5643382352941176,900.0,165.0,200.0,400.0,1200.0,900.0,600.0
215.0,-265,215.0,37.735849056603776,0.0022467320261437907,0.2555147058823529,0.12234477124183006,1,False,0.027777777777777776,0.10457516339869281,3,0,2,0,5.48,0.56,1.4,3.83,0.5,2,0,5,0,0,0,0,1,1,0,2,0.7520424836601307,167.64,175.26,125,1,0,0,3.89,0.56,0.5,0.51,0.5,2,3,17,0,0,0,1,2,1,0,4,0.20241013071895425,172.72,170.18,125,36,23,-1,2,0,-2,-3,-12,0,-1,0,-5.079999999999984,5.079999999999984,-13,1.5900000000000003,0.8999999999999999,3.3200000000000003,1,1,0.7193627450980392,0.3053513071895425,2.0,0.0016339869281045752,587.0,300.0,200.0,1600.0,330.0,1000.0,300.0
500.0,-720,500.0,13.88888888888889,0.0022467320261437907,0.2555147058823529,0.12234477124183006,1,False,0.031862745098039214,0.10457516339869281,3,0,3,0,7.88,0.54,0.0,1.5,0.5,3,0,9,0,0,1,2,0,0,0,3,0.7520424836601307,165.1,170.18,135,1,0,1,4.37,0.43,0.0,0.39,0.18,3,5,30,1,0,2,2,1,0,0,5,0.7581699346405228,165.1,162.56,135,38,26,-1,3,0,-2,-5,-21,-1,-1,0,0.0,7.620000000000003,-12,3.51,0.0,1.11,1,1,0.01511437908496732,0.4117647058823529,3.0,0.5643382352941176,900.0,700.0,-200.0,2500.0,600.0,1600.0,400.0
-155.0,135,64.51612903225806,135.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,1,False,0.17463235294117646,0.8954248366013072,3,0,1,0,3.03,0.4,0.4,3.5,0.32,1,2,7,0,0,0,0,1,0,0,1,0.7520424836601307,182.88,187.96,155,0,1,0,5.1,0.52,0.5,0.53,1.0,3,1,6,0,0,0,0,4,0,0,4,0.7581699346405228,175.26,193.04,155,28,27,0,0,-2,-3,1,1,0,-3,0,7.620000000000003,-5.079999999999984,-1,-2.07,-0.0999999999999999,2.97,1,1,0.7193627450980392,0.3053513071895425,2.0,0.0012254901960784314,471.0,330.0,450.0,2000.0,900.0,140.0,330.0
-280.0,225,35.714285714285715,225.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,0,False,0.10069444444444445,0.8954248366013072,3,1,0,0,0.99,0.55,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,0.7520424836601307,170.18,165.1,135,1,0,0,3.79,0.38,0.0,0.69,0.5,2,4,22,0,0,0,3,1,0,0,4,0.7581699346405228,170.18,172.72,145,36,29,0,0,-2,-4,-3,-20,0,-1,0,0.0,-7.620000000000003,-7,-2.8,0.0,-0.69,1,1,0.7193627450980392,0.3053513071895425,1.0,0.0012254901960784314,124.0,165.0,450.0,1400.0,2000.0,150.0,600.0
-155.0,135,64.51612903225806,135.0,0.0022467320261437907,0.2555147058823529,0.12234477124183006,0,False,0.031862745098039214,0.10457516339869281,3,2,0,0,3.04,0.53,1.0,0.0,0.0,0,2,5,0,0,0,0,0,0,0,0,0.7520424836601307,170.18,165.1,135,1,0,0,1.74,0.52,0.0,2.01,0.3,0,1,3,0,0,0,0,0,0,0,0,0.7581699346405228,167.64,172.72,135,33,30,1,0,0,0,1,2,0,0,0,2.539999999999992,-7.620000000000003,-3,1.3,1.0,-2.01,1,1,0.7193627450980392,0.3053513071895425,2.0,0.001838235294117647,442.0,140.0,225.0,450.0,900.0,800.0,900.0
