R_odds,B_odds,R_ev,B_ev,location,weight_class,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_total_rounds_fought,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,win_dif,loss_dif,total_round_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,finish,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
-335.0,253,29.85074627,253.0,0.03125,0.1746323529411764,1.08,0.43,0.0,2.59,0.57,5,172.72,185.42,4.3,0.57,0.0,1.0,1.0,6,2,170.18,180.34,155,28,24,-1,1,-1,2.54,5.08,-4,-3.22,0.0,1.59,0.4117647058823529,900.0,155.0,625.0,1275.0,575.0,160.0,700.0
-125.0,115,80.0,115.0,0.011642156862745,0.0804738562091503,0.0,0.0,0.0,0.0,0.0,1,185.42,185.42,47.8,0.688,0.0,0.6,0.4,11,3,198.12,205.74,205,39,34,-3,1,-10,-12.7,-20.32,5,-47.8,0.0,-0.6,0.1744281045751634,144.0,350.0,400.0,720.0,975.0,435.0,548.5
-255.0,235,39.21568627,235.0,0.0161356209150326,0.1746323529411764,24.759615385,0.45,0.2970588235,1.0,0.31,0,172.72,172.72,25.22222222,0.33,2.0,1.888888889,0.426666667,22,8,172.72,180.34,155,27,38,-8,1,-22,0.0,-7.62,-11,-25.22222222,-2.0,-1.888888889,0.3053513071895425,735.0,250.0,349.0,720.0,975.0,435.0,548.5
165.0,-175,165.0,57.14285714,0.0093954248366013,0.1211192810457516,24.759615385,0.45,0.2970588235,1.0,0.31,0,182.88,185.42,21.0,0.375,0.0,1.5,0.5,5,1,182.88,195.58,185,31,35,-1,1,-5,0.0,-10.16,-4,-21.0,0.0,-1.5,0.3053513071895425,92.0,385.0,384.0,874.0,1120.0,475.0,145.0
-150.0,130,66.66666667,130.0,0.0026552287581699,0.0786356209150326,24.759615385,0.45,0.2970588235,1.0,0.31,0,200.66,203.2,31.0,0.39,0.0,1.333333333,0.416666667,7,2,190.5,195.58,265,31,28,-2,1,-7,10.16,7.62,3,-31.0,0.0,-1.333333333,0.4117647058823529,900.0,195.0,525.0,535.0,635.0,440.0,300.0
-290.0,245,34.48275862,245.0,0.0049019607843137,0.0804738562091503,19.5,0.5175,1.0,0.75,0.195,7,190.5,193.04,26.0,0.451538462,0.333333333,1.0,0.33,0,0,187.96,187.96,205,22,31,2,-2,7,2.54,5.08,-9,19.5,1.0,0.75,0.1744281045751634,891.0,375.0,675.0,800.0,450.0,100.0,1200.0
-240.0,200,41.66666667,200.0,0.011642156862745,0.1006944444444444,28.55555556,0.516666667,0.555555556,1.0,0.281111111,22,172.72,185.42,31.125,0.4825,0.125,2.0,0.33125,17,6,172.72,172.72,135,26,28,-1,-2,5,0.0,12.7,-2,-2.56944444,0.430555556,-1.0,0.0986519607843137,900.0,140.0,375.0,631.0,575.0,425.0,1140.0
-155.0,135,64.51612903,135.0,0.0044934640522875,0.1695261437908496,39.0,0.506,0.0,0.0,0.0,10,177.8,180.34,35.77777778,0.42,0.0,0.111111111,0.036666667,18,7,182.88,185.42,170,31,26,-3,1,-8,-5.08,-5.08,5,3.22222222,0.0,-0.111111111,0.4117647058823529,900.0,350.0,800.0,1000.0,1800.0,130.0,180.0
-290.0,260,34.48275862,260.0,0.0167483660130718,0.1211192810457516,10.75,0.4125,0.75,0.5,0.5,8,185.42,187.96,18.18181818,0.470909091,1.181818182,1.909090909,0.366363636,26,8,185.42,182.88,170,33,30,-7,0,-18,0.0,5.08,3,-7.43181818,-0.431818182,-1.409090909,0.4117647058823529,900.0,250.0,349.0,720.0,975.0,435.0,548.5
-265.0,225,37.73584906,225.0,0.0151143790849673,0.1695261437908496,24.759615385,0.45,0.2970588235,1.0,0.31,0,187.96,187.96,21.0,0.41,1.0,1.0,0.16,3,1,185.42,195.58,170,33,27,-1,0,-3,2.54,-7.62,6,-21.0,-1.0,-1.0,0.4117647058823529,900.0,170.0,355.0,720.0,975.0,435.0,548.5
